isp,org,state
RailTel Corporation of India Ltd.,RailTel Corporation of India Ltd.,National Capital Territory of Delhi
RailTel Corporation of India Ltd.,RailTel Corporation of India Ltd.,Punjab
RailTel Corporation of India Ltd.,RailTel Corporation of India Ltd.,Uttar Pradesh
Rainbow communications India Pvt,Rainbow communications India Pvt,Tamil Nadu
Raja Bakhiyanathan Nadar t/a JPR Channel,JPR Digital Pvt.,- - -
Rajesh Patel Net Services Pvt Ltd,Rajesh Patel Net Services Pvt.,Madhya Pradesh
Rajeshnet,Rajesh Multi Channel Pvt,- - -
Rajeshnet,Rajesh Multi Channel Pvt,Maharashtra
Rasa Internet Services,Airnet Cable And Datacom Pvt,Maharashtra
Readylink Internet Services Limited Coimbatore,Readylink Internet Services Limited,Tamil Nadu
Readylink Internet Services Limited,Knowledge Institute of Technology Namakkal,Tamil Nadu
Realtel Network Services Pvt,Realtel Network Services Pvt,National Capital Territory of Delhi
Rediff.com India Limited,Rediff.com India Limited,- - -
Reliance Communication Limited,Reliance Communication Limited,Maharashtra
Reliance Communication Limited,Reliance Communication Limited,Uttar Pradesh
Reliance Communications,BSES TeleCom Limited,Gujarat
Reliance Communications,BSES TeleCom Limited,Maharashtra
Reliance Communications,BSES TeleCom Limited,National Capital Territory of Delhi
Reliance Communications,BSES TeleCom Limited,Rajasthan
Reliance Communications,BSES TeleCom Limited,Uttar Pradesh
Reliance Communications,Reliance Communications,Bihar
Reliance Communications,Reliance Communications,Karnataka
Reliance Communications,Reliance Communications,Kerala
Reliance Communications,Reliance Communications,Maharashtra
Reliance Communications,Reliance Communications,National Capital Territory of Delhi
Reliance Communications,Reliance Communications,Punjab
Reliance Communications,Reliance Communications,Rajasthan
Reliance Communications,Reliance Communications,West Bengal
Reliance Jio Infocomm Limited,Reliance Jio Infocomm Limited,- - -
Reliance Jio INFOCOMM,Reliance Jio INFOCOMM,- - -
Reliance Jio INFOCOMM,Reliance Jio INFOCOMM,Andhra Pradesh
Reliance Jio INFOCOMM,Reliance Jio INFOCOMM,Assam
Reliance Jio INFOCOMM,Reliance Jio INFOCOMM,Gujarat
Reliance Jio INFOCOMM,Reliance Jio INFOCOMM,Himachal Pradesh
Reliance Jio INFOCOMM,Reliance Jio INFOCOMM,Karnataka
Reliance Jio INFOCOMM,Reliance Jio INFOCOMM,Kashmir
Reliance Jio INFOCOMM,Reliance Jio INFOCOMM,Madhya Pradesh
Reliance Jio INFOCOMM,Reliance Jio INFOCOMM,Maharashtra
Reliance Jio INFOCOMM,Reliance Jio INFOCOMM,Odisha
Reliance Jio INFOCOMM,Reliance Jio INFOCOMM,Rajasthan
Reliance Jio INFOCOMM,Reliance Jio INFOCOMM,Tamil Nadu
Reliance Jio INFOCOMM,Reliance Jio INFOCOMM,Uttar Pradesh
Reliance Jio INFOCOMM,Reliance Jio INFOCOMM,Uttarakhand
Reliance Jio INFOCOMM,Reliance Jio INFOCOMM,West Bengal
Ricoh India Limited,Ricoh India Limited,National Capital Territory of Delhi
RINOTEL,R.K. Cable Net Private Limited,- - -
RINOTEL,R.K. Cable Net Private Limited,Gujarat
Robert Bosch engineering and business solutions pr,Robert Bosch engineering and business solutions pr,Karnataka
Rocknet Internet Services Pvt Ltd,Interdomain Routing,National Capital Territory of Delhi
Rohit Enterprises,BSNL,- - -
Royal Net Cable Pvt Ltd,Home Systems Pvt.ltd,Maharashtra
S K Network,Intech Online Private Limited,Maharashtra
s v internet,Soft Call Cust-o-care Private Limited,Maharashtra
S.R.Network.solution,S.R.Network.solution,Maharashtra
SAI Cables,Microscan Computers Private Limited,- - -
SAI Cables,Microscan Computers Private Limited,Maharashtra
Saimaa Technologies Pvt. Ltd.,Sampark Estates Pvt.,Maharashtra
Sainetservices,Ani Network Pvt,- - -
Sampark Estates Pvt.,Sampark Estates Pvt.,Maharashtra
Sampathkari Digital Network Pvt Ltd,NetX Communications,- - -
Sanjeevani Cable Network,Digital Network Associates Private Limited,Maharashtra
Satellite Cable Tv Net,Sampark Estates Pvt.,Maharashtra
Satellite Cable Tv Network Pvt. Ltd.,Sampark Estates Pvt.,- - -
Satellite Cable Tv Network Pvt. Ltd.,Sampark Estates Pvt.,Maharashtra
Satendra Networks,Excitel Broadband Private Limited,National Capital Territory of Delhi
Seva Networks Pvt Ltd,Seva Networks Pvt Ltd,- - -
Seven Star Internet Service Provider,Seven Star Internet Service Provider,Maharashtra
Shirl Broadband,Syscon Infoway Pvt.,Maharashtra
Shivam Broadband,Ani Network Pvt,National Capital Territory of Delhi
Shree Balaji Infoway Private Limited,Syscon Infoway Pvt.,- - -
Shrinathji Netsol (India) Private Limited,Shrinathji Netsol (India) Private Limited,Gujarat
SHYAM Internet service provider in India.,SHYAM Internet service provider in India.,Rajasthan
siddhbali infotech pvt,siddhbali infotech pvt,- - -
Sidhivinayak Network Pvt Ltd,Wan & Lan Internet Pvt,Maharashtra
Sify Limited,Sify Limited,- - -
Sify Limited,Sify Limited,Karnataka
Sify Limited,Sify Limited,National Capital Territory of Delhi
Sify Limited,Sify Limited,Tamil Nadu
Sify Limited,Sify Limited,West Bengal
Sikka Star powered by Sikka Broadband,Sikka Star powered by Sikka Broadband,Uttar Pradesh
Siliguri Internet & Cable TV Pvt.,Siliguri Internet & Cable TV Pvt.,West Bengal
Siti Cable Network Ltd,Siticable Network Limited,- - -
Siti Cable Network Ltd,Siticable Network Limited,Bihar
Siti Cable Network Ltd,Siticable Network Limited,National Capital Territory of Delhi
Siti Cable Network Ltd,Siticable Network Limited,West Bengal
Skandha Networks LLP,Microscan Computers Private Limited,Maharashtra
sky dot communication Limited,sky dot communication Limited,- - -
sky dot communication Limited,sky dot communication Limited,Gujarat
Skynet Broadband Plus Solution,Skynet Broadband Plus Solution,- - -
SkyNet,Airnet Cable And Datacom Pvt,Maharashtra
smartlinklink broadband services pvt ltd,SmartLink Broadband Services Pvt,Maharashtra
Soft Call Cust-o-care Private Limited,Soft Call Cust-o-care Private Limited,- - -
Soft Call Cust-o-care Private Limited,Soft Call Cust-o-care Private Limited,Maharashtra
Softearth Network Pvt,Softearth Network Pvt,Gujarat
Softgaurd Powertronics,Apollo Online Services Pvt,- - -
South City Communication Pvt Ltd,Alliance Broadband Services Pvt.,West Bengal
Southern Online Bio Technologies,BHARTI Airtel,- - -
Southern Online Bio Technologies,Southern Online Bio Technologies,Andhra Pradesh
Spacenet Internet Services Pvt.,Spacenet Internet Services Pvt.,National Capital Territory of Delhi
Spark Broadband Pvt Ltd,Wamika Broadband,Maharashtra
Speed Communicaion,Syscon Infoway Pvt.,Maharashtra
SpeedOnline.Net.Pvt.Ltd.,SpeedOnline.Net.Pvt.Ltd.,Gujarat
Sphier Infotech Private Limited,Sphier Infotech Private Limited,Punjab
Spider Net,Intech Online Private Limited,Maharashtra
Spider Net,Spider Net,- - -
SPiDiGO,"Chandra Net Pvt. Limited, India",Gujarat
SPiDiGO,SPiDiGO,Gujarat
Sprintnet,Syscon Infoway Pvt.,Maharashtra
SRD Properties Pvt Ltd,Siticable Network Limited,Jharkhand
SRD Properties Pvt Ltd,Siticable Network Limited,West Bengal
Sree Sai Services,CtrlS Datacenters,- - -
srinagar Net tech P,srinagar Net tech P,Kashmir
Ss Broadband Services Pvt,Ss Broadband Services Pvt,- - -
Statt Solution Pvt Ltd,Siticable Network Limited,West Bengal
Suraj Network,Suraj Network,Uttar Pradesh
Swastik Internet and Cables pvt.,Swastik Internet and Cables pvt.,Maharashtra
SwiftMail Communications Limited,Swift Online Border,- - -
SwiftMail Communications Limited,Swift Online Border,Maharashtra
Swiftnet Broadband Private Limited,Swiftnet Broadband Private Limited,Maharashtra
Syscon Infoway Pvt.,Soft Call Cust-o-care Private Limited,Maharashtra
Syscon Infoway Pvt.,Syscon Infoway Pvt.,Maharashtra
Syscon Infoway Pvt.,Syscon Infoway Pvt.,Punjab
System Solution,Airnet Cable And Datacom Pvt,Maharashtra
TATA Communications,TATA Communications,- - -
TATA Communications,TATA Communications,Haryana
TATA Communications,TATA Communications,Karnataka
TATA Communications,TATA Communications,Maharashtra
TATA Communications,TATA Communications,National Capital Territory of Delhi
TATA Communications,TATA Communications,Uttar Pradesh
TATA Communications,TATA Communications,West Bengal
Tata Indicom,Tata Indicom,- - -
Tata Indicom,Tata Indicom,Maharashtra
Tata Indicom,Tata Indicom,National Capital Territory of Delhi
Tata Mobile,Delhi Gsm Ip Pool,Maharashtra
Tata Mobile,Delhi Gsm Ip Pool,National Capital Territory of Delhi
Tata Mobile,Delhipacket Core Network,Karnataka
Tata Mobile,Delhipacket Core Network,Maharashtra
Tata Mobile,Mumbai Gsm Ip Pool,Karnataka
Tata Mobile,Mumbai Packet Core Network,Karnataka
Tata Mobile,Tata Mobile,Gujarat
Tata Mobile,Tata Mobile,Karnataka
Tata Mobile,Tata Mobile,Madhya Pradesh
Tata Mobile,Tata Mobile,Maharashtra
Tata Mobile,Tata Mobile,Uttar Pradesh
Tata Teleservices (Maharashtra) Ltd,Tata Teleservices Maharashtra,Maharashtra
Tata Teleservices ISP,Tata Teleservices ISP,Haryana
Tata Teleservices Maharashtra,Tata Teleservices Maharashtra,- - -
Tata Teleservices Maharashtra,Tata Teleservices Maharashtra,Maharashtra
Tata Teleservices Maharashtra,TTML ADSL Dynamic-Res,Maharashtra
Telenor (India) Communications Pvt. Ltd.,Uninor,- - -
Telenor (India) Communications Pvt. Ltd.,Uninor,Haryana
Telenor (India) Communications Pvt. Ltd.,Uninor,Uttar Pradesh
Tesonet,Tesonet,Maharashtra
The Speednet,Meghbela Broadband,West Bengal
The Weblink Network,Digital Network Associates Private Limited,Maharashtra
The Weblink Network,Syscon Infoway Pvt.,Maharashtra
Threesa Infoway Pvt.Ltd.,Intech Online Private Limited,- - -
Threesa Infoway Pvt.Ltd.,Threesa Infoway Pvt.Ltd.,- - -
Threesa Infoway Pvt.Ltd.,Threesa Infoway Pvt.Ltd.,Maharashtra
Tier IV Datacenters Limited,CtrlS Datacenters,- - -
Tikona Digital Networks Pvt. LTD,Tikona Digital Networks Pvt,Gujarat
Tikona Digital Networks Pvt. LTD,Tikona Digital Networks Pvt,Karnataka
Tikona Digital Networks Pvt. LTD,Tikona Digital Networks Pvt,Madhya Pradesh
Tikona Digital Networks Pvt. LTD,Tikona Digital Networks Pvt,Maharashtra
Tikona Digital Networks Pvt. LTD,Tikona Digital Networks Pvt,National Capital Territory of Delhi
Tikona Digital Networks Pvt. LTD,Tikona Digital Networks Pvt,Tamil Nadu
Tikona Digital Networks Pvt. LTD,Tikona Digital Networks Pvt,Uttar Pradesh
Tirupati Media Pvt Ltd,Home Systems Pvt.ltd,Maharashtra
Triple Play Teleservices Private Limited,Triple Play Broadband Private Limited,Haryana
TRIPLEPLAY BROADBAND PVT LTD,TRIPLEPLAY BROADBAND PVT LTD,Haryana
TRIPLEPLAY INTERACTIVE NETWORK PVT LTD,TRIPLEPLAY INTERACTIVE NETWORK PVT LTD,Haryana
Tripleplay Telecom Pvt Ltd,Triple Play Broadband Private Limited,Haryana
Tripleplay Telecom Pvt Ltd,Tripleplay Telecom Pvt Ltd,Haryana
True Broadband Service,True Broadband Service,National Capital Territory of Delhi
Ttsl-isp Division,Tata Teleservices ISP,Haryana
TULIP Telecom ltd.,VeriVoz Communication Private Limited,- - -
TULIP Telecom ltd.,VeriVoz Communication Private Limited,National Capital Territory of Delhi
U.p. Communication Services Pvt,U.p. Communication Services Pvt,Uttarakhand
Uclix Infra,Ragsaa Communication pvt.,Rajasthan
ultranet services private limited,ultranet services private limited,Uttar Pradesh
Unet Communication Private Limited,BlazeNet,Gujarat
Univera Network,VooServers,Maharashtra
Vainavi Industries Ltd.,Vainavi Industies Ltd,- - -
Vainavi Industries Ltd.,Vainavi Industies Ltd,Andhra Pradesh
Vasai Cable Pvt.,Vasai Cable Pvt.,Maharashtra
VeriVoz Communication Private Limited,VeriVoz Communication Private Limited,Haryana
VeriVoz Communication Private Limited,VeriVoz Communication Private Limited,National Capital Territory of Delhi
VeriVoz Communication Private Limited,World Star Communication,Haryana
vertigotechnologies pvt ltd,Ani Network Pvt,National Capital Territory of Delhi
Vijaya Comnet Private Limited,"3c, Subiksha Complex",Tamil Nadu
Vision Smartlink Networking Private Limited,Vision Smartlink Networking Private Limited,Gujarat
Visual Computer Care,Visual Computer Care,Gujarat
Viswaroopa Info Services India Private Ltd,CtrlS Datacenters,- - -
VMware India Software Pvt,VMware India Software Pvt,Karnataka
Vodafone India,Acme Diginet Corporation Pvt.,National Capital Territory of Delhi
Vodafone India,Vodafone India,- - -
Vodafone India,Vodafone India,Gujarat
Vodafone India,Vodafone India,Karnataka
Vodafone India,Vodafone India,Maharashtra
Vodafone India,Vodafone India,National Capital Territory of Delhi
Vodafone India,Vodafone India,Tamil Nadu
Vodafone India,Vodafone India,Uttar Pradesh
Vodafone India,Vodafone India,West Bengal
Vovinet Infocom Pvt. Ltd,Microscan Computers Private Limited,Maharashtra
Vovinet Infotech Pvt. Ltd,Microscan Computers Private Limited,Maharashtra
Wan & Lan Internet Pvt,Wan & Lan Internet Pvt,Maharashtra
Wan and lan Internet Pvt.Ltd,Wan & Lan Internet Pvt,Maharashtra
Way2 Projects & Developers Private Limited,SoftLayer Technologies,- - -
Way2air Net Solution Pvt Ltd,Airnet Cable And Datacom Pvt,Maharashtra
Web Labz,Airnat It Solutions Pvt,Haryana
web world,Soft Call Cust-o-care Private Limited,Maharashtra
Websurf Pvt Ltd,Soft Call Cust-o-care Private Limited,Maharashtra
Wefe Technology Pvt,Wefe Technology Pvt,Odisha
Wipro Technologies,Wipro Technologies,Maharashtra
Wish Net Private Limited,Wish Net Private Limited,West Bengal
Wish Net,Wish Net Private Limited,West Bengal
World Phone Internet Services Pvt Ltd,Gigantic Infotel Pvt,National Capital Territory of Delhi
World Phone Internet Services Pvt Ltd,Interdomain Routing,Bihar
World Phone Internet Services Pvt Ltd,Interdomain Routing,National Capital Territory of Delhi
World Phone Internet Services Pvt Ltd,Interdomain Routing,Rajasthan
World Phone Internet Services Pvt Ltd,Interdomain Routing,Tamil Nadu
World Phone Internet Services Pvt Ltd,Interdomain Routing,Union Territory of Puducherry
World Phone Internet Services Pvt Ltd,Interdomain Routing,Uttar Pradesh
Wow Solutions and Systems Pvt,Wow Solutions and Systems Pvt,Punjab
Xm Media Services LLP,Microscan Computers Private Limited,- - -
Yashash Cable Network Pvt Ltd,Yashtel,Karnataka
Yashtel,Yashtel,Karnataka
YOU Telecom India Pvt Ltd,YOU Broadband & Cable India,- - -
YOU Telecom India Pvt Ltd,YOU Broadbaznd & Cable India,Andhra Pradesh
YOU Telecom India Pvt Ltd,YOU Broadband & Cable India,Gujarat
YOU Telecom India Pvt Ltd,YOU Broadband & Cable India,Karnataka
YOU Telecom India Pvt Ltd,YOU Broadband & Cable India,Maharashtra
YOU Telecom India Pvt Ltd,YOU Broadband & Cable India,Tamil Nadu
YPT Entertainment House Pvt,YPT Entertainment House Pvt,Uttar Pradesh
YPT Entertainment House Pvt. Ltd.,YPT Entertainment House Pvt. Ltd.,Uttar Pradesh
Zapbytes Technologies Pvt.,Zapbytes Technologies Pvt.,Uttar Pradesh
ZNet Technologies Private Limited,ZNet Technologies Private Limited,- - -
Zye Telecom Pvt,Zye Telecom Pvt,Andhra Pradesh
